Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,RSI_14,SMA_20,Price_SMA_Ratio,MACD_Line,MACD_Signal,MACD_Hist,Volatility_20,Sentiment_Avg,Positive_Ratio,Negative_Ratio,Article_Count,earnings_flag,product_launch_flag,ceo_change_flag,merger_flag,dividend_flag,Next_Close,Price_Change_Pct,Label
2026-04-27 00:00:00-04:00,209.4059296471886,216.5775789683675,207.13858324348888,216.3578,187172400,0.0,0.0,NVDA,88.7971,190.6153,1.135,7.4706,5.0401,2.4305,30.8029,0.0,0.0,0.0,0,0,0,0,0,0,212.92184448242188,-1.5881,0
2026-04-28 00:00:00-04:00,209.24613572912838,214.4800260296235,207.95762889823203,212.9218,180275400,0.0,0.0,NVDA,81.6664,193.0125,1.1032,7.9469,5.6215,2.3255,31.0256,0.0,0.0,0.0,0,0,0,0,0,0,209.00640869140625,-1.8389,0
2026-04-29 00:00:00-04:00,212.4523894424142,212.47237042757808,207.33835459433345,209.0064,123711800,0.0,0.0,NVDA,74.7558,194.753,1.0732,7.9172,6.0806,1.8366,28.5149,0.0,0.0,0.0,0,0,0,0,0,0,199.33767700195312,-4.626,0
2026-04-30 00:00:00-04:00,209.68560172993963,210.05518135667162,198.46867945247158,199.3377,225239200,0.0,0.0,NVDA,59.7435,195.9426,1.0173,7.0324,6.271,0.7615,34.6827,0.0,0.0,0.0,0,0,0,0,0,0,198.21897888183594,-0.5612,0
2026-05-01 00:00:00-04:00,201.0456862731779,202.76368521944246,196.89052532216473,198.219,128647000,0.0,0.0,NVDA,58.0771,196.9944,1.0062,6.1698,6.2508,-0.0809,34.9315,0.0,0.0,0.0,0,0,0,0,0,0,198.24893188476562,0.0151,1
2026-05-04 00:00:00-04:00,199.26774870200734,201.49514834231712,194.51329562325486,198.2489,125368100,0.0,0.0,NVDA,51.9935,198.0352,1.0011,5.4261,6.0858,-0.6597,34.9555,0.0,0.0,0.0,0,0,0,0,0,0,196.271240234375,-0.9976,0
2026-05-05 00:00:00-04:00,199.06798360144137,200.00689171848026,195.80178617585554,196.2712,113406600,0.0,0.0,NVDA,47.5831,198.9541,0.9865,4.6238,5.7934,-1.1696,35.3901,0.0,0.0,0.0,0,0,0,0,0,0,207.5880584716797,5.7659,1
2026-05-06 00:00:00-04:00,199.65729931010404,208.0275486883452,198.37879062945476,207.5881,188362800,0.0,0.0,NVDA,57.9211,200.2401,1.0367,4.8453,5.6038,-0.7585,39.6299,0.0,0.0,0.0,0,0,0,0,0,0,211.2537841796875,1.7659,1
2026-05-07 00:00:00-04:00,208.0974592073836,213.95063795079753,206.25960488465944,211.2538,168307900,0.0,0.0,NVDA,58.1589,201.618,1.0478,5.256,5.5342,-0.2782,39.801,0.0,0.0,0.0,0,0,0,0,0,0,214.94947814941406,1.7494,1
2026-05-08 00:00:00-04:00,212.7820061205359,217.5464575316693,212.642169707093,214.9495,136421400,0.0,0.0,NVDA,60.3465,202.945,1.0592,5.8127,5.5899,0.2228,39.405,0.0,0.0,0.0,0,0,0,0,0,0,219.18453979492188,1.9703,1
2026-05-11 00:00:00-04:00,213.79081709888328,222.04121091513153,213.64099781886503,219.1845,160685800,0.0,0.0,NVDA,64.9176,204.4497,1.0721,6.5205,5.776,0.7445,39.64,0.0,0.0,0.0,0,0,0,0,0,0,220.52297973632812,0.6106,1
2026-05-12 00:00:00-04:00,218.29558003818886,223.48952345691538,214.6698009927987,220.523,159176600,0.0,0.0,NVDA,64.219,205.6618,1.0723,7.1075,6.0423,1.0651,37.9858,0.0,0.0,0.0,0,0,0,0,0,0,225.56710815429688,2.2873,1
2026-05-13 00:00:00-04:00,224.6681467194947,227.57476278227756,221.3120728008497,225.5671,150405400,0.0,0.0,NVDA,69.7006,207.0082,1.0897,7.8888,6.4116,1.4771,38.4031,0.0,0.0,0.0,0,0,0,0,0,0,235.465576171875,4.3883,1
2026-05-14 00:00:00-04:00,229.58243343997336,236.26463268418732,229.03307065698914,235.4656,180782900,0.0,0.0,NVDA,70.2731,208.8756,1.1273,9.2006,6.9694,2.2312,40.4092,0.0,0.0,0.0,0,0,0,0,0,0,225.05770874023438,-4.4201,0
2026-05-15 00:00:00-04:00,229.49252726355346,231.23050718880455,223.97896415639156,225.0577,180977600,0.0,0.0,NVDA,56.2366,210.0562,1.0714,9.2933,7.4342,1.8591,44.4435,0.0,0.0,0.0,0,0,0,0,0,0,222.0612030029297,-1.3314,0
2026-05-18 00:00:00-04:00,229.60240180074675,229.7322553439391,218.1157890335498,222.0612,146280900,0.0,0.0,NVDA,56.5932,211.068,1.0521,9.0209,7.7515,1.2694,44.9515,0.0,0.0,0.0,0,0,0,0,0,0,220.35317993164062,-0.7692,0
2026-05-19 00:00:00-04:00,219.36432694236115,224.21866983705235,217.6563261548179,220.3532,140948200,0.0,0.0,NVDA,58.4549,212.1033,1.0389,8.5685,7.9149,0.6536,44.8189,0.0,0.0,0.0,0,0,0,0,0,0,223.20985412597656,1.2964,1
2026-05-20 00:00:00-04:00,222.9201831873553,225.8667612103758,220.2433103590018,223.2099,184201600,0.0,0.0,NVDA,69.7979,213.1506,1.0472,8.3443,8.0008,0.3435,44.8156,0.0,0.0,0.0,0,0,0,0,0,0,219.25445556640625,-1.7721,0
2026-05-21 00:00:00-04:00,222.03121805596584,227.13526994336974,217.6762930684293,219.2545,203381800,0.0,0.0,NVDA,66.6614,214.1429,1.0239,7.758,7.9522,-0.1942,45.0402,0.0,0.0,0.0,0,0,0,0,0,0,215.07933044433594,-1.9042,0
2026-05-22 00:00:00-04:00,220.64283833374193,220.75271088945502,214.54994865072538,215.0793,169275700,0.0,0.0,NVDA,62.5093,214.4955,1.0027,6.8772,7.7372,-0.8601,43.451,0.0,0.0,0.0,0,0,0,0,0,0,214.60987854003906,-0.2183,0
2026-05-26 00:00:00-04:00,216.28791550863897,217.92600574795006,211.75320730356688,214.6099,187202600,0.0,0.0,NVDA,63.9429,214.4081,1.0009,6.0712,7.404,-1.3328,41.0703,0.0,0.0,0.0,0,0,0,0,0,0,212.35250854492188,-1.0518,0
2026-05-27 00:00:00-04:00,213.87072806866348,213.90069192498567,208.53694826896,212.3525,167601200,0.0,0.0,NVDA,54.2012,214.3796,0.9905,5.1906,6.9613,-1.7708,40.8403,0.0,0.0,0.0,0,0,0,0,0,0,214.00057983398438,0.7761,1
